會員編號,年齡,性別,居住地區,會員等級,累積消費次數
M00001,40,女,台北市,一般會員,22
M00002,33,女,新北市,黃金會員,47
M00003,23,男,高雄市,一般會員,44
M00004,39,女,高雄市,白金會員,47
M00005,41,男,台南市,鑽石VIP,21
M00006,28,女,台北市,白金會員,29
M00007,36,女,新北市,黃金會員,24
M00008,29,女,台北市,白金會員,6
M00009,28,女,新北市,一般會員,29
M00010,34,女,新北市,一般會員,40
M00011,38,女,桃園市,一般會員,45
M00012,53,女,台北市,黃金會員,16
M00013,39,女,台南市,一般會員,18
M00014,36,女,台中市,白金會員,44
M00015,60,男,高雄市,白金會員,40
M00016,29,女,台北市,黃金會員,18
M00017,39,女,台北市,一般會員,8
M00018,50,女,台北市,一般會員,28
M00019,31,女,台北市,一般會員,45
M00020,31,女,台北市,一般會員,15
M00021,44,男,台北市,一般會員,9
M00022,32,女,台北市,黃金會員,23
M00023,47,女,台北市,白金會員,50
M00024,31,女,台中市,黃金會員,6
M00025,57,女,新竹市,一般會員,28
M00026,43,女,高雄市,白金會員,40
M00027,20,女,台北市,白金會員,38
M00028,30,女,台中市,白金會員,28
M00029,60,女,新北市,一般會員,18
M00030,54,女,台北市,黃金會員,21
M00031,43,女,台中市,一般會員,22
M00032,43,女,台北市,黃金會員,31
M00033,25,女,台中市,一般會員,2
M00034,21,男,台北市,白金會員,50
M00035,27,女,新北市,黃金會員,20
M00036,18,女,桃園市,白金會員,29
M00037,41,女,台北市,黃金會員,48
M00038,53,女,台北市,一般會員,14
M00039,29,女,台中市,一般會員,17
M00040,39,女,新北市,一般會員,18
M00041,57,男,台南市,一般會員,31
M00042,36,男,新北市,一般會員,8
M00043,25,男,新竹市,黃金會員,50
M00044,27,男,高雄市,一般會員,20
M00045,41,男,台中市,黃金會員,19
M00046,32,女,高雄市,黃金會員,23
M00047,25,女,新北市,一般會員,4
M00048,53,男,高雄市,一般會員,37
M00049,20,不透露,台中市,一般會員,37
M00050,23,男,台北市,一般會員,20
M00051,25,男,台中市,白金會員,31
M00052,24,女,台北市,一般會員,7
M00053,29,女,台中市,一般會員,8
M00054,27,女,台北市,一般會員,18
M00055,30,男,新北市,黃金會員,46
M00056,22,男,高雄市,一般會員,34
M00057,40,女,台南市,一般會員,35
M00058,32,不透露,台北市,白金會員,16
M00059,28,男,新北市,黃金會員,18
M00060,41,女,台北市,一般會員,46
M00061,33,女,台北市,一般會員,32
M00062,18,男,台北市,一般會員,11
M00063,24,男,台中市,一般會員,24
M00064,42,女,台北市,一般會員,18
M00065,43,女,台南市,白金會員,10
M00066,31,女,台南市,一般會員,15
M00067,28,男,台北市,白金會員,40
M00068,42,男,台北市,一般會員,14
M00069,19,男,台北市,一般會員,43
M00070,48,女,台中市,黃金會員,1
M00071,44,女,台南市,一般會員,31
M00072,43,女,台北市,黃金會員,6
M00073,25,女,新北市,白金會員,3
M00074,34,男,台南市,一般會員,3
M00075,37,女,台北市,白金會員,48
M00076,35,男,新竹市,一般會員,15
M00077,32,男,台南市,白金會員,32
M00078,35,女,台南市,一般會員,47
M00079,21,男,台北市,一般會員,10
M00080,33,女,台南市,黃金會員,38
M00081,24,男,台中市,黃金會員,45
M00082,38,女,新北市,黃金會員,21
M00083,36,女,桃園市,白金會員,13
M00084,25,女,台北市,一般會員,7
M00085,25,男,台中市,白金會員,49
M00086,37,女,新北市,白金會員,49
M00087,33,女,台中市,一般會員,31
M00088,25,女,新北市,一般會員,45
M00089,60,男,台北市,一般會員,48
M00090,34,女,台北市,一般會員,14
M00091,48,女,台中市,一般會員,23
M00092,26,女,新北市,黃金會員,7
M00093,44,男,新北市,黃金會員,49
M00094,53,女,台中市,黃金會員,37
M00095,27,男,高雄市,鑽石VIP,6
M00096,26,男,台北市,白金會員,48
M00097,27,女,新北市,白金會員,46
M00098,27,女,新北市,一般會員,22
M00099,36,男,新竹市,一般會員,30
