客訴單號,會員等級,客訴內容,處理狀態,建檔日期
TK-39365,一般會員,結帳頁面卡住，重整後竟然扣款兩次，太誇張了吧，請馬上幫我刷退其中一筆！,未處理,2026-05-03 13:00
TK-53047,VVIP,我覺得你們的會員制度越來越不划算，下個月我要取消訂閱了。,未處理,2026-05-04 20:00
TK-35909,VIP,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,已結案,2026-05-05 12:00
TK-54336,VIP,我想要更改收件地址，但訂單狀態顯示已出貨，還來得及改嗎？,未處理,2026-05-08 18:00
TK-43666,VIP,活動送的贈品根本沒拿到，是不是漏放了？,已結案,2026-05-07 07:00
TK-97525,VIP,結帳頁面卡住，重整後竟然扣款兩次，太誇張了吧，請馬上幫我刷退其中一筆！,未處理,2026-05-13 20:00
TK-76292,一般會員,更新後我的點數都不見了，原本有 3000 點耶，請立刻幫我查清楚並補回來！,未處理,2026-05-01 16:00
TK-86747,VIP,說好24小時到貨，這都第三天了，物流到底在搞什麼？,已結案,2026-05-10 12:00
TK-24779,VIP,結帳頁面卡住，重整後竟然扣款兩次，太誇張了吧，請馬上幫我刷退其中一筆！,未處理,2026-05-05 17:00
TK-40998,VIP,我昨天明明有使用優惠碼，為什麼結帳還是原價？你們是在騙人嗎？,未處理,2026-05-01 00:00
TK-25194,一般會員,新版介面真的很難用，找個結帳按鈕找了半天，可以換回舊版嗎？,已結案,2026-05-12 15:00
TK-74554,VVIP,新版介面真的很難用，找個結帳按鈕找了半天，可以換回舊版嗎？,未處理,2026-05-03 01:00
TK-49692,一般會員,網頁版可以正常登入，但APP版一直顯示帳號密碼錯誤，請盡快修復！,未處理,2026-05-13 18:00
TK-38082,一般會員,送來的商品包裝都破損了，裡面的東西也有刮傷，我要求立刻換貨！,未處理,2026-05-01 11:00
TK-34563,一般會員,忘記密碼收不到認證信，連垃圾信件匣都找過了，請協助處理。,未處理,2026-05-06 09:00
TK-44910,一般會員,我昨天明明有使用優惠碼，為什麼結帳還是原價？你們是在騙人嗎？,未處理,2026-05-07 16:00
TK-64772,一般會員,說好24小時到貨，這都第三天了，物流到底在搞什麼？,未處理,2026-05-15 22:00
TK-69262,一般會員,我昨天明明有使用優惠碼，為什麼結帳還是原價？你們是在騙人嗎？,未處理,2026-05-06 19:00
TK-22112,VIP,說好24小時到貨，這都第三天了，物流到底在搞什麼？,未處理,2026-05-13 02:00
TK-60811,VIP,每次點開商品詳情都要等很久，是伺服器又當了嗎？,未處理,2026-05-13 10:00
TK-44353,VVIP,忘記密碼收不到認證信，連垃圾信件匣都找過了，請協助處理。,未處理,2026-05-12 12:00
TK-48899,一般會員,可以不要一直跳出那個煩人的蓋版廣告嗎？嚴重影響閱讀體驗！,已結案,2026-05-01 17:00
