日期,訂單編號,會員編號,商品分類,商品名稱,結帳金額,付款方式
2026-04-14 23:34,SA-833319,M00627,3C家電,LG 掃地機器人,15306,LinePay
2026-04-24 20:01,SA-505046,M00606,3C家電,Sony 降噪耳機,10270,信用卡
2026-04-09 01:31,SA-390325,M00727,母嬰用品,明治 金選奶粉,693,超商貨到付款
2026-04-07 17:19,SA-101186,M00496,生活居家,舒潔 抽取式衛生紙(箱),851,信用卡
2026-04-04 02:20,SA-714396,M00662,3C家電,Nintendo Switch,9492,信用卡
2026-04-13 13:44,SA-624470,M00178,生活居家,舒潔 抽取式衛生紙(箱),851,超商貨到付款
2026-04-27 02:46,SA-543480,M00819,3C家電,LG 掃地機器人,14397,街口支付
2026-04-21 10:27,SA-655195,M01444,服飾配件,Nike Air Force 1,3240,信用卡
2026-04-20 08:20,SA-629188,M01426,美妝保養,理膚寶水 B5全面修復霜,849,LinePay
2026-04-03 10:14,SA-641088,M00257,服飾配件,G-Shock 經典運動錶,3041,信用卡
2026-04-09 15:52,SA-657580,M00193,美妝保養,SK-II 青春露,6228,信用卡
2026-04-21 11:28,SA-942982,M01049,3C家電,Sony 降噪耳機,10445,超商貨到付款
2026-04-22 05:45,SA-435270,M00023,3C家電,Apple Watch S9,12961,LinePay
2026-04-29 03:43,SA-361951,M01376,保健食品,娘家 益生菌,1162,超商貨到付款
2026-04-12 06:43,SA-850537,M01174,生活居家,宜得利 N-COOL涼感床墊,1265,街口支付
2026-04-07 21:44,SA-962630,M00343,生活居家,3M 淨水器濾心,2460,LinePay
2026-04-27 19:49,SA-477372,M00590,美妝保養,雅詩蘭黛 小棕瓶,3850,LinePay
2026-04-06 22:15,SA-699821,M00570,生活居家,TOTO 溫水洗淨便座,9464,LinePay
2026-04-22 01:35,SA-444171,M00831,美妝保養,資生堂 百優精純乳霜,2549,超商貨到付款
2026-04-22 00:53,SA-345489,M00908,生活居家,舒潔 抽取式衛生紙(箱),832,信用卡
2026-04-13 17:56,SA-877536,M00753,服飾配件,G-Shock 經典運動錶,3176,信用卡
2026-04-21 08:30,SA-878104,M01006,生活居家,舒潔 抽取式衛生紙(箱),852,超商貨到付款
2026-04-19 03:50,SA-729613,M01017,美妝保養,資生堂 百優精純乳霜,2578,信用卡
2026-04-21 12:05,SA-963314,M00197,生活居家,宜得利 N-COOL涼感床墊,1241,超商貨到付款
2026-04-19 14:46,SA-384590,M00851,3C家電,Nintendo Switch,8858,信用卡
2026-04-20 15:06,SA-896736,M01282,生活居家,TOTO 溫水洗淨便座,9611,ATM轉帳
2026-04-19 15:36,SA-804199,M01402,3C家電,Apple Watch S9,13309,信用卡
2026-04-10 10:58,SA-421672,M01159,3C家電,LG 掃地機器人,15226,信用卡
2026-04-13 22:05,SA-849620,M00459,3C家電,Nintendo Switch,9366,街口支付
2026-04-03 18:34,SA-749015,M00303,保健食品,白蘭氏 雙認證雞精(盒),1306,LinePay
2026-04-16 13:19,SA-281552,M00179,3C家電,iPhone 15 Pro,35927,街口支付
2026-04-12 17:50,SA-241043,M00366,生活居家,舒潔 抽取式衛生紙(箱),826,LinePay
2026-04-25 13:19,SA-374387,M01102,服飾配件,G-Shock 經典運動錶,2994,信用卡
2026-04-06 10:39,SA-733094,M00608,生活居家,TOTO 溫水洗淨便座,9369,LinePay
2026-04-05 10:54,SA-908509,M01088,美妝保養,雅詩蘭黛 小棕瓶,3926,街口支付
2026-04-10 13:13,SA-130665,M00846,美妝保養,雅詩蘭黛 小棕瓶,3980,LinePay
2026-04-15 19:06,SA-132840,M00948,服飾配件,Uniqlo 極暖發熱衣,749,LinePay
2026-04-01 01:10,SA-990777,M00587,母嬰用品,Joie 輕量雙向推車,6730,超商貨到付款
2026-04-16 19:45,SA-300634,M00162,生活居家,TOTO 溫水洗淨便座,9278,LinePay
2026-04-04 16:53,SA-340936,M00915,3C家電,iPhone 15 Pro,33497,超商貨到付款
2026-04-22 08:40,SA-484541,M01459,服飾配件,G-Shock 經典運動錶,3119,超商貨到付款
2026-04-24 17:52,SA-448615,M00782,服飾配件,Uniqlo 極暖發熱衣,755,LinePay
2026-04-02 04:34,SA-779559,M00290,美妝保養,SK-II 青春露,6132,信用卡
2026-04-06 19:18,SA-672237,M00069,生活居家,TOTO 溫水洗淨便座,9011,LinePay
2026-04-29 06:09,SA-361230,M00959,生活居家,舒潔 抽取式衛生紙(箱),868,LinePay
2026-04-10 05:19,SA-900052,M00423,生活居家,3M 淨水器濾心,2300,ATM轉帳
2026-04-30 07:44,SA-430506,M01230,服飾配件,G-Shock 經典運動錶,3017,LinePay
2026-04-13 04:57,SA-230862,M01263,3C家電,Apple Watch S9,12205,LinePay
2026-04-04 04:00,SA-146993,M00997,美妝保養,SK-II 青春露,5758,信用卡
2026-04-14 03:41,SA-134493,M00524,母嬰用品,Joie 輕量雙向推車,6349,超商貨到付款
2026-04-13 23:20,SA-419537,M00522,美妝保養,理膚寶水 B5全面修復霜,817,信用卡
2026-04-13 18:58,SA-746762,M00109,3C家電,Sony 降噪耳機,10005,信用卡
2026-04-04 13:21,SA-226353,M00946,生活居家,無印良品 PP收納盒,439,LinePay
2026-04-15 06:21,SA-654303,M01016,3C家電,LG 掃地機器人,14536,超商貨到付款
2026-04-04 06:00,SA-724769,M00012,3C家電,iPhone 15 Pro,33624,LinePay
2026-04-07 13:04,SA-807790,M01179,3C家電,iPhone 15 Pro,34003,信用卡
2026-04-12 17:18,SA-316710,M00020,服飾配件,Ray-Ban 飛行員太陽眼鏡,5130,信用卡
2026-04-23 15:53,SA-917339,M00090,美妝保養,SK-II 青春露,5752,LinePay
2026-04-15 08:59,SA-773653,M01078,服飾配件,Nike Air Force 1,3396,信用卡
2026-04-01 20:08,SA-358277,M00329,服飾配件,Ray-Ban 飛行員太陽眼鏡,5451,超商貨到付款
2026-04-24 09:10,SA-648549,M00023,服飾配件,Uniqlo 極暖發熱衣,783,信用卡
2026-04-05 13:54,SA-864379,M01316,母嬰用品,Joie 輕量雙向推車,6456,信用卡
2026-04-17 14:17,SA-889893,M00401,服飾配件,G-Shock 經典運動錶,3100,LinePay
2026-04-18 23:44,SA-302976,M00632,美妝保養,SK-II 青春露,6123,信用卡
2026-04-07 14:48,SA-790555,M00574,服飾配件,G-Shock 經典運動錶,3111,超商貨到付款
2026-04-26 14:26,SA-385229,M00112,母嬰用品,Joie 輕量雙向推車,6247,信用卡
2026-04-01 14:40,SA-128070,M00678,生活居家,無印良品 PP收納盒,415,ATM轉帳
2026-04-16 03:52,SA-257334,M01036,3C家電,Apple Watch S9,12261,LinePay
2026-04-19 17:19,SA-535382,M00255,生活居家,舒潔 抽取式衛生紙(箱),884,信用卡
2026-04-13 00:15,SA-123446,M01357,美妝保養,雅詩蘭黛 小棕瓶,3850,超商貨到付款
2026-04-06 07:31,SA-269513,M00869,3C家電,Nintendo Switch,9508,超商貨到付款
2026-04-27 02:26,SA-825155,M00861,美妝保養,蘭蔻 極光水,3372,超商貨到付款
2026-04-18 07:53,SA-606216,M01412,母嬰用品,Joie 輕量雙向推車,6249,超商貨到付款
2026-04-19 14:16,SA-750171,M00434,保健食品,桂格 大燕麥片,236,ATM轉帳
2026-04-04 02:07,SA-774106,M00447,3C家電,Sony 降噪耳機,10295,信用卡
2026-04-05 11:56,SA-988743,M00725,3C家電,Dyson 吹風機,14136,LinePay
2026-04-17 22:17,SA-870881,M00479,美妝保養,資生堂 百優精純乳霜,2560,超商貨到付款
2026-04-13 06:23,SA-838111,M01017,3C家電,Dyson 吹風機,14503,LinePay
2026-04-28 15:49,SA-197757,M00588,生活居家,無印良品 PP收納盒,427,LinePay
2026-04-11 21:56,SA-268320,M01454,3C家電,iPhone 15 Pro,35615,信用卡
2026-04-09 11:20,SA-180602,M00864,美妝保養,蘭蔻 極光水,3451,LinePay
2026-04-18 13:53,SA-559402,M00216,3C家電,Apple Watch S9,12247,LinePay
2026-04-29 02:48,SA-824431,M01447,生活居家,無印良品 PP收納盒,436,ATM轉帳
2026-04-26 09:38,SA-124879,M00576,保健食品,善存 綜合維他命,936,信用卡
2026-04-20 06:16,SA-362642,M01398,3C家電,LG 掃地機器人,14890,街口支付
2026-04-16 03:12,SA-149793,M01172,3C家電,Sony 降噪耳機,10290,LinePay
2026-04-13 12:32,SA-526645,M01297,3C家電,LG 掃地機器人,15410,信用卡
2026-04-11 18:28,SA-764257,M00814,美妝保養,雅詩蘭黛 小棕瓶,3847,信用卡
